Team;Group;Previous appearances;Previous tittles;Previous finals;Previous semifinals;Current FIFA Rank;First match against;Match index;W-L;W-LGoals;Second match against;Match index;W-L;W-LGoals;Third match against;Match index;W-L;W-LGoals
Turkey;A;4;0;0;1;29;Italy;1;-5;-11;Wales;13;-1;-3;Switzerland;25;3;4
Italy;A;9;1;3;5;7;Turkey;1;5;11;Switzerland;14;6;11;Wales;26;4;13
Wales;A;1;0;0;1;17;Switzerland;2;-3;-7;Turkey;13;1;3;Italy;26;-4;-13
Switzerland;A;4;0;0;0;13;Wales;2;3;7;Italy;14;-6;-11;Turkey;25;-3;-4
Denmark;B;8;1;1;2;10;Finland;3;6;6;Belgium;15;-1;2;Russia;27;-1;-2
Finland;B;0;0;0;0;54;Denmark;3;-6;-6;Russia;16;-4;-14;Belgium;28;1;-1
Belgium;B;5;0;1;2;1;Russia;4;5;9;Denmark;15;1;2;Finland;28;-1;1
Russia;B;11;1;4;6;38;Belgium;4;-5;-9;Finland;16;4;14;Denmark;27;1;2
Austria;C;2;0;0;0;23;North Macedonia;7;2;4;Netherlands;19;-4;-12;Ukraine;31;0;0
North Macedonia;C;0;0;0;0;62;Austria;7;-2;-4;Ukraine;20;-1;-2;Netherlands;32;-2;-5
Netherlands;C;9;1;1;5;16;Ukraine;8;1;3;Austria;19;4;12;North Macedonia;32;2;5
Ukraine;C;2;0;0;0;24;Netherlands;8;-1;-3;North Macedonia;20;1;2;Austria;31;0;0
England;D;9;0;0;2;4;Croatia;5;2;8;Scotland;17;4;10;Czech Republic;29;1;6
Croatia;D;5;0;0;0;14;England;5;-2;-8;Czech Republic;18;2;2;Scotland;30;-2;-3
Scotland;D;2;0;0;0;44;Czech Republic;6;0;-1;England;17;-4;-10;Croatia;30;2;3
Czech Republic;D;9;1;2;5;40;Scotland;6;0;1;Croatia;18;-2;-2;England;29;-1;-6
Poland;E;3;0;0;0;21;Slovakia;9;-1;1;Spain;21;-7;-19;Sweden;33;-5;-11
Slovakia;E;1;0;0;0;36;Poland;9;1;-1;Sweden;22;-2;-3;Spain;34;-3;-9
Spain;E;10;3;4;4;6;Sweden;10;4;9;Poland;21;7;19;Slovakia;34;3;9
Sweden;E;6;0;0;1;18;Spain;10;-4;-9;Slovakia;22;2;3;Poland;33;5;11
Hungary;F;3;0;0;2;37;Portugal;11;-7;-15;France;23;-1;-5;Germany;35;-2;-2
Portugal;F;7;1;2;5;5;Hungary;11;7;15;Germany;24;-7;-13;France;36;-13;-23
France;F;9;2;3;5;2;Germany;12;3;5;Hungary;23;1;5;Portugal;36;13;23
Germany;F;12;3;6;9;12;France;12;-3;-5;Portugal;24;7;13;Hungary;35;2;2
